lambda,rmse,rmse_NASDAQ,rmse_DJI
0.5,0.5953782784762534,0.6962224183929053,0.5933901495898972
0.51,0.5944541412126472,0.6948645700637358,0.5923588910446128
0.52,0.5935489972544576,0.6935288951466841,0.5913430866126166
0.53,0.5926624374183744,0.6922152638163569,0.590342233948971
0.54,0.5917940982825197,0.6909235655239917,0.5893558852321159
0.55,0.5909436687208344,0.6896537139684871,0.588383653788781
0.56,0.5901108968193577,0.6884056527686593,0.5874252211476986
0.5700000000000001,0.5892955971736861,0.6871793618535326,0.5864803445415545
0.5800000000000001,0.5884976585743023,0.6859748645874086,0.585548864881159
0.5900000000000001,0.587717052095258,0.6847922356469917,0.5846307152329551
0.6000000000000001,0.5869538396118472,0.6836316096690733,0.5837259298414211
0.6100000000000001,0.5862081827843553,0.6824931906893016,0.5828346537521691
0.6200000000000001,0.5854803525576587,0.6813772623955446,0.5819571531099457
0.6300000000000001,0.5847707392403394,0.6802841992236575,0.5810938262283923
0.6400000000000001,0.584079863242113,0.6792144783296832,0.5802452155552269
0.6500000000000001,0.5834083865648982,0.6781686924816527,0.579412020687204
0.6600000000000001,0.5827571251611137,0.6771475639276437,0.5785951126235764
0.6700000000000002,0.5821270622933703,0.6761519593164808,0.5777955494846361
0.6800000000000002,0.5815193630534243,0.6751829057755809,0.577014593963261
0.6900000000000002,0.5809353902261506,0.6742416082891862,0.5762537328223317
0.7000000000000002,0.580376721717473,0.6733294685713603,0.5755146987992669
0.7100000000000002,0.5798451698048239,0.6724481056926493,0.574799495329981
0.7200000000000002,0.5793428025158384,0.6715993787969688,0.5741104245562113
0.7300000000000002,0.5788719674968454,0.6707854123348309,0.5734501191285291
0.7400000000000002,0.5784353187993264,0.6700086243392869,0.5728215783567235
0.7500000000000002,0.5780358470938588,0.6692717583836303,0.5722282092830369
0.7600000000000002,0.5776769139249684,0.6685779199946534,0.5716738732572647
0.7700000000000002,0.5773622907603405,0.667930618477596,0.5711629385793556
0.7800000000000002,0.5770962037855357,0.6673338153904622,0.5707003397671682
0.7900000000000003,0.576883385682705,0.6667919813744134,0.5702916440635751
0.8000000000000003,0.5767291360559311,0.6663101638358591,0.5699431260373141
0.8100000000000003,0.5766393927988834,0.6658940692596187,0.5696618517560216
0.8200000000000003,0.5766208176550475,0.6655501659128011,0.5694557752961199
0.8300000000000003,0.5766809006603432,0.6652858155693885,0.5693338525963223
0.8400000000000003,0.5768280902636861,0.665109446771711,0.5693061809971234
0.8500000000000003,0.5770719587333223,0.6650307869945175,0.569384176889677
0.8600000000000003,0.5774234154474541,0.6650611763987537,0.569580807346713
0.8700000000000003,0.577894981806932,0.6652139900153409,0.5699108911397822
0.8800000000000003,0.578501135407012,0.6655051934978928,0.5703914733659713
0.8900000000000003,0.5792587055139043,0.6659540377385282,0.571042242424785
0.9000000000000004,0.5801872318357435,0.6665838305751802,0.571885871435691
0.9100000000000004,0.5813090401734929,0.6674225502579381,0.5729479784915095
0.9200000000000004,0.5826484879130883,0.6685026913193061,0.5742560357048696
0.9300000000000004,0.5842294083184087,0.6698590856157267,0.57583596786062
0.9400000000000004,0.5860696664063308,0.6715227234174629,0.577704639952872
0.9500000000000004,0.5881739801179255,0.6735091543212876,0.5798577263997782
0.9600000000000004,0.5905390004601268,0.6758074467864459,0.5822637306570151
0.9700000000000004,0.5932440180108292,0.6784149813654604,0.5849338369260316
0.9800000000000004,0.5970125557623216,0.6816896951910635,0.5884623531932323
0.9900000000000004,0.6067558082626114,0.6888865719097117,0.5976508060347046
