m,test
0,103.202108307752
1,93.2645059300835
2,86.1014823247344
3,79.9869470391165
4,74.5540019189565
5,69.6283958855435
6,65.1074981254746
7,60.9234943153809
8,57.028186631689
9,53.3855381014201
10,49.9675773321959
11,46.751959269292
12,43.7204207086422
13,40.8577543265067
14,38.1511002795418
15,35.5894412305622
16,33.1632326201641
17,30.8641257197613
18,28.6847560645071
19,26.6185790388087
20,24.6597401656807
21,22.8029713988559
22,21.0435072103907
23,19.3770159641931
24,17.7995432453281
25,16.3074646494409
26,14.897446136889
27,13.5664104944275
28,12.3115087717013
29,11.1300958029331
30,10.0197091085387
31,8.97805061266689
32,8.00297072195963
33,7.09245439620509
34,6.24460890877703
35,5.45765304812915
36,4.72990755430141
37,4.05978661876077
38,3.44579030377429
39,2.88649776023254
40,2.38056114148151
41,1.92670012611063
42,1.52369697538245
43,1.1703920616165
44,0.865679812739586
45,0.608505025677175
46,0.397859507589033
47,0.23277900929196
48,0.112340419771215
49,0.035659194573498
50,0.001886994204483
51,0.010209511519349
52,0.059844469575467
53,0.150039773543426
54,0.280071802143198
55,0.449243825679162
56,0.656884539158853
57,0.902346700222552
58,1.18500586267965
59,1.50425919741355
60,1.85952439324518
61,2.25023863108987
62,2.67585762540176
63,3.13585472747201
64,3.62972008567681
65,4.15695985822111
66,4.71709547433795
67,5.30966294027667
68,5.93421218673046
69,6.59030645466021
70,7.27752171673075
71,7.99544613181263
72,8.74367953022386
73,9.52183292757559
74,10.3295280652588
75,11.166396975778
76,12.0320815712689
77,12.9262332536775
78,13.8485125451958
79,14.7985887376491
80,15.7761395596422
81,16.7808508603516
82,17.8124163089325
83,18.870537108596
84,19.9549217244644
85,21.0652856243903
86,22.2013510319758
87,23.3628466910775
88,24.5495076411448
89,25.7610750027703
90,26.9972957728801
91,28.2579226290294
92,29.542713742301
93,30.8514325983425
94,32.1838478260986
95,33.5397330338369
96,34.9188666520779
97,36.3210317830689
98,37.7460160564694
99,39.1936114909283
100,40.6636143612514
